Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Queens,SWD,2012,6 year June,2838,1590,56.0,861,30.3,54.2,56,2.0,3.5,805,28.4,50.6,729,25.7,45.8,362,12.8,534,18.8,328,11.6,21,0.7
Staten Island,Not SWD,2019,4 year August,3475,3205,92.2,3205,92.2,100.0,1533,44.1,47.8,1672,48.1,52.2,0,0.0,0.0,122,3.5,113,3.3,4,0.1,31,0.9
Staten Island,Not SWD,2018,4 year August,3502,3212,91.7,3206,91.5,99.8,2241,64.0,69.8,965,27.6,30.0,6,0.2,0.2,143,4.1,116,3.3,0,0.0,31,0.9
Staten Island,Not SWD,2017,4 year August,3578,3273,91.5,3271,91.4,99.9,2269,63.4,69.3,1002,28.0,30.6,2,0.1,0.1,182,5.1,99,2.8,0,0.0,24,0.7
Staten Island,Not SWD,2016,4 year August,3691,3338,90.4,3322,90.0,99.5,2084,56.5,62.4,1238,33.5,37.1,16,0.4,0.5,194,5.3,105,2.8,0,0.0,54,1.5
Staten Island,Not SWD,2015,4 year August,3480,3107,89.3,3000,86.2,96.6,1325,38.1,42.6,1675,48.1,53.9,107,3.1,3.4,197,5.7,143,4.1,0,0.0,33,0.9
Staten Island,Not SWD,2014,4 year August,3681,3236,87.9,3126,84.9,96.6,1313,35.7,40.6,1813,49.3,56.0,110,3.0,3.4,262,7.1,146,4.0,1,0.0,36,1.0
Staten Island,Not SWD,2013,4 year August,3666,3199,87.3,3126,85.3,97.7,1213,33.1,37.9,1913,52.2,59.8,73,2.0,2.3,272,7.4,153,4.2,0,0.0,41,1.1
Staten Island,Not SWD,2012,4 year August,3626,3145,86.7,3046,84.0,96.9,1130,31.2,35.9,1916,52.8,60.9,99,2.7,3.1,297,8.2,161,4.4,0,0.0,23,0.6
Staten Island,Not SWD,2019,4 year June,3475,3163,91.0,3163,91.0,100.0,1532,44.1,48.4,1631,46.9,51.6,0,0.0,0.0,163,4.7,113,3.3,5,0.1,31,0.9
Staten Island,Not SWD,2018,4 year June,3502,3179,90.8,3173,90.6,99.8,2234,63.8,70.3,939,26.8,29.5,6,0.2,0.2,176,5.0,116,3.3,0,0.0,31,0.9
Staten Island,Not SWD,2017,4 year June,3578,3197,89.4,3195,89.3,99.9,2257,63.1,70.6,938,26.2,29.3,2,0.1,0.1,257,7.2,100,2.8,0,0.0,24,0.7
Staten Island,Not SWD,2016,4 year June,3691,3306,89.6,3290,89.1,99.5,2078,56.3,62.9,1212,32.8,36.7,16,0.4,0.5,226,6.1,105,2.8,0,0.0,54,1.5
Staten Island,Not SWD,2015,4 year June,3480,3056,87.8,2964,85.2,97.0,1324,38.0,43.3,1640,47.1,53.7,92,2.6,3.0,248,7.1,143,4.1,0,0.0,33,0.9
Staten Island,Not SWD,2014,4 year June,3681,3179,86.4,3082,83.7,96.9,1312,35.6,41.3,1770,48.1,55.7,97,2.6,3.1,319,8.7,146,4.0,1,0.0,36,1.0
Staten Island,Not SWD,2013,4 year June,3666,3153,86.0,3082,84.1,97.7,1211,33.0,38.4,1871,51.0,59.3,71,1.9,2.3,318,8.7,153,4.2,0,0.0,41,1.1
