Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Queens,Multi-Racial,2015,5 year June,269,235,87.4,222,82.5,94.5,69,25.7,29.4,153,56.9,65.1,13,4.8,5.5,23,8.6,8,3.0,3,1.1,0,0.0
Queens,Multi-Racial,2014,5 year June,226,215,95.1,210,92.9,97.7,71,31.4,33.0,139,61.5,64.7,5,2.2,2.3,7,3.1,2,0.9,2,0.9,0,0.0
Queens,Multi-Racial,2013,5 year June,199,185,93.0,181,91.0,97.8,53,26.6,28.6,128,64.3,69.2,4,2.0,2.2,3,1.5,9,4.5,1,0.5,1,0.5
Queens,Multi-Racial,2012,5 year June,139,121,87.1,116,83.5,95.9,21,15.1,17.4,95,68.3,78.5,5,3.6,4.1,8,5.8,10,7.2,0,0.0,0,0.0
Queens,Multi-Racial,2017,6 year June,360,340,94.4,339,94.2,99.7,211,58.6,62.1,128,35.6,37.6,1,0.3,0.3,9,2.5,9,2.5,1,0.3,1,0.3
Queens,Multi-Racial,2016,6 year June,345,325,94.2,322,93.3,99.1,159,46.1,48.9,163,47.2,50.2,3,0.9,0.9,10,2.9,9,2.6,1,0.3,0,0.0
Queens,Multi-Racial,2015,6 year June,269,238,88.5,225,83.6,94.5,69,25.7,29.0,156,58.0,65.5,13,4.8,5.5,18,6.7,10,3.7,3,1.1,0,0.0
Queens,Multi-Racial,2014,6 year June,225,215,95.6,210,93.3,97.7,71,31.6,33.0,139,61.8,64.7,5,2.2,2.3,6,2.7,3,1.3,1,0.4,0,0.0
Queens,Multi-Racial,2013,6 year June,197,185,93.9,181,91.9,97.8,53,26.9,28.6,128,65.0,69.2,4,2.0,2.2,1,0.5,11,5.6,0,0.0,0,0.0
Queens,Multi-Racial,2012,6 year June,139,122,87.8,117,84.2,95.9,21,15.1,17.2,96,69.1,78.7,5,3.6,4.1,7,5.0,10,7.2,0,0.0,0,0.0
Queens,Native American,2019,4 year August,337,288,85.5,285,84.6,99.0,80,23.7,27.8,205,60.8,71.2,3,0.9,1.0,32,9.5,12,3.6,0,0.0,5,1.5
Queens,Native American,2018,4 year August,379,333,87.9,333,87.9,100.0,137,36.1,41.1,196,51.7,58.9,0,0.0,0.0,21,5.5,19,5.0,4,1.1,2,0.5
Queens,Native American,2017,4 year August,391,333,85.2,331,84.7,99.4,171,43.7,51.4,160,40.9,48.0,2,0.5,0.6,31,7.9,21,5.4,0,0.0,6,1.5
Queens,Native American,2016,4 year August,295,238,80.7,237,80.3,99.6,97,32.9,40.8,140,47.5,58.8,1,0.3,0.4,21,7.1,29,9.8,3,1.0,4,1.4
